drumkit,title,key,played,recordings
104ns,Rollin' 'n' Tumblin',,20160306,33
"",Room To Move,,20000824,1
95,Route 66,,20160306,12
95,Roxanne,,20150618,9
"115, 95, 109",Runaway,,20101202,9
104,Running Down a Dream,,20161229,11
"92! RX!, 105 up, R38, 119","Same Thing, The",,20121014,81
104,San Jose,,20040624,2
92,Sandman,,20030617,1
95,Santa Monica,,20071207,5
