drumkit,title,key,played,recordings
RX,For What It's Worth,,20090910,1
109,Forever Young,,20130425,7
105,Foxy Lady,,20140827,2
"90, 95",Friend is a Four-Letter Word,,20070517,5
1,Friend of the Devil,,20160424,1
104,From The Beginning,,20070809,4
R3,Funked Up!,,20140102,1
87,Further On Up the Road,,20130228,8
"92, 93!",Get Back,,20130725,6
95,Gloria,,20111103,2
