drumkit,title,key,played,recordings
"",Fever,,20010419,2
1,Fire,,20150507,1
101,First Cut is the Deepest,,20091029,13
"109, 110!",First I Look at the Purse,,20140220,24
"104, 115",Fishing Blues,E,20100401,10
101,Flake,,20030719,1
"95, RX",Fly Like an Eagle,,20110120,6
109,Folsom Prison Blues,,20160324,9
95,Fools in Love,,20050602,1
88,Footprints,,20020706,2
