drumkit,title,key,played,recordings
105,I Hurt Myself Today,,20110526,7
"95, 105, 101!, 104",I Just Wanna Make Love to You,,20080723,10
92,I Know You Rider,,20100909,3
R72,I Need a Miracle,,20180712,1
"109, 93!",I Put a Spell on You,,20160519,18
"104, 95",I Saw Her Standing There,,20151212,12
"109, 104",I Shall Be Released,,20111219,27
"R71, R27, Pocket",I Shot the Sheriff,,20140702,28
104,I Thank You,,20140417,3
100,I Walk the Line,,20011212,1
