drumkit,title,key,played,recordings
105,Stairway to Heaven,,20040805,1
95,Standing Next to a Mountain,,20070501,1
95,Starman,,20160505,3
"104, 95?",Statesboro Blues,,20110628,5
104,Stealin,G,20130905,5
R&B2,Stepping Stone,,20140220,3
92,Still Waiting,,20050618,1
"112, 104, Pocket",Stir It Up,,20110414,5
Rx,Stone Free,,20070501,1
104,Stormy Monday,,20040624,4
