drumkit,title,key,played,recordings
109,Got My Mojo Workin,,20150618,7
104,Got Your Name On It,,20090813,1
86,Gotta Find My Baby,,20030116,3
109,Gotta Serve Somebody,,20050602,1
"104 PG/toms, 105, 93?",Grapevine,A,20150324,13
93,Gravity,,20160505,13
95,Green Onions,,20120322,1
"104, 115",Green River,,20070809,3
104,Groom Still Waiting at the Altar,,20120202,2
95,Groove,,20030617,1
