drumkit,title,key,played,recordings
104,Close to You Baby,,20040916,3
Rx,Cocaine,,20070501,1
104,Coelacanth Stomp,,20161229,1
"95, 98",Cold Brains,,20140612,18
109,Cold Shot,,20141202,5
"95, 104",Cold Turkey,,20160519,33
95,Come On Let's Go,,20071114,1
93,Comfortably Numb,,20180712,16
104,Coming into Los Angeles,,20161229,27
95,Cool Cat,,20050618,1
