drumkit,title,key,played,recordings
93,Learning to Fly,,20141105,6
109,Lectric Chair,,20050323,1
"104PG,119, 105?",Let It Bleed,C,20150618,29
119? 115!,Let's Say Goodnight,,20010419,2
R+B2,Let's Stay Together,,20161229,1
99,Light My Fire,,20000420,2
109,Like a Rolling Stone,,20150519,21
95,Little Bit of Your Love,,20031023,1
104,Little By Little,,20141014,26
"109, 38!, RX",Little Red Rooster,A,20160519,33
