drumkit,title,key,played,recordings
"104, 93",Blood and Roses,,20151212,2
125,Blues Before Sunrise,,20010322,2
"92, 93!",Born In Chicago,,20160519,16
"115, 104",Born On the Bayou,,20090311,7
RX,Born To Be Wild,,20121107,1
"92, 101, 104",Born Under a Bad Sign,,20160519,38
92,Brain Damage,,20130228,7
95,Breakdown,,20160614,14
92,Breathe,,20130228,8
95,"Bright Lights, Big City",,20040513,1
