drumkit,title,key,played,recordings
104,You Are My Sunshine,,20040513,1
111,You Can Leave Your Hat On,,20101104,2
"104, 109",You Can't Always Get What You Want,,20090910,4
"87, 95, R39!",You Can't Do That,,20160505,10
87,You Don't Know How It Feels,,20130926,2
109,You Got to Move,,20060706,1
115,You Know It Ain't Right,,20160211,35
115,You're Gonna Make Me Lonesome When You Go,,20151212,1
104,You're So Bad,,20080515,10
"95, 104",You're The One,,20090922,24
