drumkit,title,key,played,recordings
105,Que Sera Sera,,20010322,1
R1,Queen Jane Approximately,,20141119,3
104PG,Ragtime Millionaire,A,20130217,12
"99, 115",Red Headed Woman,,20031211,2
"119, 109",Red House,,20070405,3
115,Redneck Friend,,20100909,2
"95, RX",Relax,,20100728,13
"101, 109, 105!",Revolution,,20080903,3
105,Rhythm & Blues,,20030603,1
"109,115",Richland Woman Blues,E,20130425,16
