drumkit,title,key,played,recordings
"88, 93!",Can't Find My Way Home,,20161229,10
"89, 105, 104",Can't You See,,20140702,4
125,Cash Ain't Nothing But Trash,,20010322,1
101,Caught in a Trap,,20040219,1
"R18, 92",Celluloid Heroes,,20161229,19
"104, 115",Chain of Fools,,20160114,14
104,Change the World,,20030227,1
95,Chicago Bound,,20160614,21
124up,Chill Out,,20040805,2
101,Cinnamon Girl,,20141001,9
