drumkit,title,key,played,recordings
"95, 104, R18, RX","Wind Cries Mary, The",,20081204,10
"Pocket, 93",Wipeout,,20110721,2
"92, 105",Wish You Were Here,,20130228,39
95,Without Wings,,20050618,1
104,Won't Back Down,,20040805,2
"101, 86, 92",Wooden Ships,,20041202,6
95,Working Class Hero,,20150519,24
104,Wreck Me Baby,,20161229,12
104,Yer Birthday,,20050504,1
115,You Ain't Going No Where,,20130905,4
