drumkit,title,key,played,recordings
"105, RX",25 or 6 to 4,,20070405,2
110,"5' 4""",,20080424,1
"125,101",8 Bar Blues,,20010419,3
95,Across the Universe,,20090910,1
93,Aeroplane,,20160505,12
109,Aiko Aiko,,20071004,1
95,Ain't Got You,,20071114,3
"R69!, Pocket",Ain't No Rest for the Wicked,,20160306,15
109,Ain't That Good News,,20121227,10
"104, 100, 106?",Ain't Too Proud To Beg,,20080117,12
