drumkit,title,key,played,recordings
"109up ns, 111!",Beedle Um Bum,A,20110721,19
109,Before You Accuse Me,,20080306,2
93,Bell Bottom Blues,,20180712,6
99,Bertha,,20010125,1
87,Bible's Too Heavy for Me,,20110331,1
"115, 95, 109",Big Boss Man,,20100218,19
"95,87",Big Railroad Blues,,20050602,2
101,Black,,20180712,17
95,Black Friday,,20050323,1
99,Black Magic Woman,,20150603,9
