drumkit,title,key,played,recordings
"99, 90, 95",Superstition,,20030630,9
"95, 90, 104",Suzy Q,,20160114,29
"87, 104",Sweet Home Alabama,,20050126,4
110,Sweet Home Chicago,,20120712,11
"88, 95, 105",Sweet Jane,,20080807,7
104,Sweet Virginia,,20120105,6
104,Swingin',,20180712,9
"100, 109, RX!",Sympathy for the Devil,,20140702,9
93,T-T-T-Tommy,,20110609,1
111?,Take It On Home,,20050407,1
