drumkit,title,key,played,recordings
111,Wait in Vain,,20130814,14
"109PG, 104, R&B2",Waiting On a Friend,,20140220,30
93,"Waiting is the Hardest Part, The",,20160505,9
115,Waiting on a Corner,,20101007,1
93,Walk Away,,20121202,1
"115, 109?, Pocket!",Walk On the Wild Side,,20150519,16
105,Walking,,20120202,20
104,Walking in Leucadia,,20080807,1
93,Walls,,20141223,1
"93, 109, 87 up 0, 104, 99",Wang Dang Doodle,,20151212,36
