drumkit,title,key,played,recordings
92,Dark Star,,20010125,1
101?,Day Tripper,,20020117,1
"105,106",Dazed and Confused,,20040624,7
"101, 104",Dead Flowers,D,20151212,33
109,Deal,,20071004,2
115,Dear Doctor,,20130217,16
1,Dear Mr. Fantasy,,20180712,20
109,Desolation Row,,20140220,2
"104, 101",Diamond Lil,A,20100218,21
92,Dirty Love,,20110303,2
