drumkit,title,key,played,recordings
"88, 117",Moonlight Mile,E,20150827,29
106,Mortal Kombat,,20010925,1
95,Mother's Little Helper,,20140702,26
"90, 95",Mountain Jam,,20080723,5
"104 up, 95",Move Too Soon,,20150106,42
125,Mr. Mike's Big Thing,,19991221,2
93,Mr. Mike's Fourth Thing,,20010712,1
"104, 86",Mr. Mike's Funky Thing,,20021121,1
110,Mr. Mike's Jazz Thing,,20010712,1
"",Mr. Mike's Thing,,20001212,1
